trade_id,session_id,event_family,regime,score_bucket,bars_held,outcome,pnl
T0057,S029,impulse,volatile,0.2-0.3,1,win,161.26
T0058,S030,gap,volatile,0.5-0.6,1,win,161.26
T0059,S030,impulse,volatile,0.2-0.3,1,loss,-251.24
T0060,S031,gap,volatile,0.6-0.7,1,win,161.26
T0061,S031,impulse,volatile,0.2-0.3,1,win,161.26
T0062,S032,gap,volatile,0.6-0.7,1,win,161.26
T0063,S032,impulse,volatile,0.3-0.4,1,loss,-251.24
T0064,S033,gap,volatile,0.7-0.8,1,loss,-251.24
T0065,S033,impulse,volatile,0.3-0.4,1,loss,-251.24
T0066,S034,gap,volatile,0.6-0.7,1,win,161.26
T0067,S034,impulse,volatile,0.3-0.4,1,loss,-251.24
T0068,S035,gap,volatile,0.5-0.6,1,win,161.26
T0069,S035,impulse,volatile,0.3-0.4,1,win,161.26
T0070,S036,gap,volatile,0.7-0.8,1,loss,-251.24
T0071,S036,impulse,volatile,0.3-0.4,1,win,161.26
